property_name,property_type,address,area,year,floors,developer,transaction_count,image_url,region,district,code
Hong Kong Plaza,Office,188 Connaught Road West,"10,915 - 12,252ft² approx",1983 Year,43 Floor(s),Sanfield Building Contractors,24,https://hkis.centanet.com/oir/S0zjT8MbS0ITEQdkeXt6fGZ7fmZ6fWR6eXh6eXJlARsM.jpg,HK_Island,Western District,WS001
Hong Kong Industrial Building,Industrial,444-452 Des Voeux Road West,,1981 Year,22 Floor(s),,11,https://hkis.centanet.com/oir/eX7RffEpeXAwNz1WS0lLSFRIS1RLQVZMTztOQThLTklJQE9NSDhNQE86Sk1OPU06Oj07TTo6TFcTCRwe.jpg,HK_Island,Western District,WS001
Yiuga Factory Building,Industrial,62 Victoria Road,,1987 Year,24 Floor(s),,9,https://hkis.centanet.com/oir/WF_wXNAIWFERFhx3amhpanVobnVqYXdsaGtoYXYyKD8=.jpg,HK_Island,Western District,WS001
Kwong Ga Factory Building,Industrial,64 Victoria Road,,1989 Year,20 Floor(s),,3,https://hkis.centanet.com/oir/UFf4VNgAUFkZHhR_YmBhYn1gZn1iaX9kYGJpaX46IDc=.jpg,HK_Island,Western District,WS001
Cheung Fat Building (WD),Industrial,7-9 Hill Road,,1972 Year,16 Floor(s),,2,https://hkis.centanet.com/oir/U1T7V9sDU1oaHRd8YWNiYX5jZX5ha3xnY2FlZ305IzQ=.jpg,HK_Island,Western District,WS001
Cheung Hing Industrial Building (WD),Industrial,12 Smithfield,,1972 Year,15 Floor(s),,1,https://hkis.centanet.com/oir/XVr1WdUNXVQUExlyb21sb3Bta3BvZXJpbW9laXM3LTo=.jpg,HK_Island,Western District,WS001
Kam Teem Industrial Building,Industrial,135 Connaught Road West,,1979 Year,13 Floor(s),,,https://hkis.centanet.com/oir/V1D_U98HV14eGRN4ZWdmZXpnYXplbnhjZ2RnYXk9JzA=.jpg,HK_Island,Western District,WS001
Circle Tower,Office,28 Tang Lung Street,"1,802 - 3,940ft² approx",1996 Year,23 Floor(s),,11,https://hkis.centanet.com/oir/CwyjD4NbCwJTUUckOTs5OCY7PCY7PyQ8P0k_Mzs4PkpPSjw_SjpKST0zMzJNOjNNTTw4Pj4_PSVhe25s.jpg,HK_Island,Causeway Bay,WS007
Sino Plaza,Office,255-257 Gloucester Road,"7,500 - 12,297ft² approx",1992 Year,27 Floor(s),,11,https://hkis.centanet.com/oir/HRq1GZVNHRRFR1EyLy0vLTAtLDAuLTItWyRYXCRbWCksLiUpXC5ZJSRZLi4uKShbKC8sXFwtLzN3bXo=.jpg,HK_Island,Causeway Bay,WS007
"China Tai Ping Tower, Phase I",Office,8 Sunning Road,"4,480 - 7,602ft² approx",1992 Year,26 Floor(s),,10,https://hkis.centanet.com/oir/aG_AbOA4aGEwMiRHWlhaWEVYWUVbWEcpXVFeUV5eXFBYXFBcKl0rUVBeUFpYWCpZWClcKl5ZWUYCGA8=.jpg,HK_Island,Causeway Bay,WS007
