queriedDistrict,queriedCode,propertyID,buildingNameEn,address,developers,opDateDisplayName,floorDisplayName,districtNameEn,zoneEn,sellCount,rentCount,transCount
Central,WS004,9877c872-799c-49da-a166-e1019205f6c0,Cheung Kong Center,2 Queen's Road Central,Hutchison Whampoa Limited,2004 Year,75 Floor(s),Central,Hong Kong,0,27,4
Central,WS004,4dd27749-7810-4e41-9f12-060859f7c28d,Champion Tower,3 Garden Road,Great Eagle Holdings Limited,1992 Year,50 Floor(s),Central,Hong Kong,0,22,5
Central,WS004,ffbad26e-3434-415a-85af-0d971b045dd9,Prosperous Building,48-52 Des Voeux Road Central,Man Hing Hong,1968 Year,17 Floor(s),Central,Hong Kong,0,19,3
Central,WS004,e04e7221-1f55-41c9-8690-023d3b1116fc,ICBC Tower (Garden Road),3 Garden Road,Great Eagle Holdings Limited,1992 Year,37 Floor(s),Central,Hong Kong,0,17,7
Central,WS004,afae4454-1852-4a5f-8961-9e85298cc36c,China Building,29 Queen's Road Central,Hutchison Whampoa Limited,1978 Year,28 Floor(s),Central,Hong Kong,0,16,5
Central,WS004,5bd7548f-da26-4e74-8805-196966cd6764,Wing On House,71 Des Voeux Road Central,Realty Building Limited,1967 Year,31 Floor(s),Central,Hong Kong,10,14,6
Central,WS004,17891180-96d0-44be-8d28-c36cbd037700,Man Yee Building,60-68 Des Voeux Road Central,Man Hing Hong,1999 Year,31 Floor(s),Central,Hong Kong,0,16,6
Central,WS004,14fbcde1-c486-4eae-860b-7f9c6bb25979,Universal Trade Centre,3 Arbuthnot Road,Henderson Land Development Company Limited,1992 Year,32 Floor(s),Central,Hong Kong,7,9,14
Central,WS004,869738a7-f8a8-4a28-8128-a3e3ed00ea55,1 Lyndhurst Tower,1 Lyndhurst Terrace,Maintown Development Limited,1993 Year,24 Floor(s),Central,Hong Kong,11,9,5
Central,WS004,435d2ffa-7dd7-4264-afa9-e370ff64dbb8,Nine Queen's Road Central,9 Queen's Road Central,SYLVAN HOLDINGS Company Limited,1991 Year,37 Floor(s),Central,Hong Kong,5,8,12
