Building Name,Address,Detail URL
Chung Mei Centre Block A,15 Hing Yip St. (formerly Known As 15-17 Hing Yip St.),https://www.midlandici.com.hk/ics/property/building/details/B000007831/Chung-Mei-Centre-Block-A
Chung Mei Centre Block B,15 Hing Yip St. (formerly Known As 15-17 Hing Yip St.),https://www.midlandici.com.hk/ics/property/building/details/B000007832/Chung-Mei-Centre-Block-B
Continental Electric Building,Nos.15 & 17 Wang Chiu Road,https://www.midlandici.com.hk/ics/property/building/details/B000059602/Continental-Electric-Building
Core 45,43-45 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000084208/Core-45
Crocodile Center,79 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000062696/Crocodile-Center
Crown Industrial Building,106 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000007492/Crown-Industrial-Building
Dah Way Industrial Building,86 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000018915/Dah-Way-Industrial-Building
Dj Building,173 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000018911/Dj-Building
Enterprise Square Five Tower 1,38 Wang Chiu Road,https://www.midlandici.com.hk/ics/property/building/details/B000062009/Enterprise-Square-Five-Tower-1
Enterprise Square Five Tower 2,38 Wang Chiu Road,https://www.midlandici.com.hk/ics/property/building/details/B000062010/Enterprise-Square-Five-Tower-2
Enterprise Square Two,3 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000059595/Enterprise-Square-Two
Entrepot Centre,117 How Ming Street,https://www.midlandici.com.hk/ics/property/building/details/B000007099/Entrepot-Centre
Everest Industrial Centre,396 Kwun Tong Road,https://www.midlandici.com.hk/ics/property/building/details/B000007109/Everest-Industrial-Centre
Everwin Centre,72 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007897/Everwin-Centre
Fook Hong Industrial Building,19 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000007523/Fook-Hong-Industrial-Building
Free Trade Centre,49 Tsun Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007101/Free-Trade-Centre
Fully Industrial Building,6 Tsun Yip Lane,https://www.midlandici.com.hk/ics/property/building/details/B000019325/Fully-Industrial-Building
Fun Tower,35 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000076260/Fun-Tower
Fung Yip Industrial Building,170 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019369/Fung-Yip-Industrial-Building
Gee Lok Industrial Building,34 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000019402/Gee-Lok-Industrial-Building
Hewlett Centre,54 (formerly 52-54) Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007096/Hewlett-Centre
High Win Factory Building,No.47 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000019816/High-Win-Factory-Building
Hing Yip Centre,31 Hing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019912/Hing-Yip-Centre
Hoi Bun Industrial Building,6 Wing Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000019956/Hoi-Bun-Industrial-Building
Hoi Luen Industrial Centre Block A,55 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007772/Hoi-Luen-Industrial-Centre-Block-A
Hoi Luen Industrial Centre Block B,55 Hoi Yuen Road,https://www.midlandici.com.hk/ics/property/building/details/B000007773/Hoi-Luen-Industrial-Centre-Block-B
Hong Leong Industrial Complex,4 Wang Kwong Road,https://www.midlandici.com.hk/ics/property/building/details/B000020064/Hong-Leong-Industrial-Complex
Hope Sea Industrial Centre,26 Lam Hing Street,https://www.midlandici.com.hk/ics/property/building/details/B000007224/Hope-Sea-Industrial-Centre
Horizon Sea,No 33 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000125920/Horizon-Sea
Hung Tai Industrial Building,37-39 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007107/Hung-Tai-Industrial-Building
Hung Tat Industrial Building,43 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000007108/Hung-Tat-Industrial-Building
Hung To Centre,94 & 96 How Ming Street Kowloon,https://www.midlandici.com.hk/ics/property/building/details/B000024099/Hung-To-Centre
Hung To Industrial Building,80 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020210/Hung-To-Industrial-Building
International Industrial Building,175 Hoi Bun Road,https://www.midlandici.com.hk/ics/property/building/details/B000059655/International-Industrial-Building
International Plaza,20 Sheung Yuet Road,https://www.midlandici.com.hk/ics/property/building/details/B000007520/International-Plaza
Jc Tower,91 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000059714/Jc-Tower
Jing Hin Industrial Building,No.5 Wang Kee Street,https://www.midlandici.com.hk/ics/property/building/details/B000020309/Jing-Hin-Industrial-Building
Joint Venture Factory Building,76 Hung To Road,https://www.midlandici.com.hk/ics/property/building/details/B000020316/Joint-Venture-Factory-Building
Jumbo Industrial Building,189 Wai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020345/Jumbo-Industrial-Building
Kader Building,22 Kai Cheung Road,https://www.midlandici.com.hk/ics/property/building/details/B000020398/Kader-Building
Kai Fuk Industrial Centre,1 Wang Tung Street,https://www.midlandici.com.hk/ics/property/building/details/B000007521/Kai-Fuk-Industrial-Centre
Kam Hon Industrial Building,8 Wang Kwun Road,https://www.midlandici.com.hk/ics/property/building/details/B000020484/Kam-Hon-Industrial-Building
Kenning Industrial Building,19 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020624/Kenning-Industrial-Building
Kinetic Industrial Centre,No.7 Wang Kwong Road,https://www.midlandici.com.hk/ics/property/building/details/B000020704/Kinetic-Industrial-Centre
King Yip Factory Building,59 King Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000007504/King-Yip-Factory-Building
Kingsford Industrial Centre,No.13 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000020772/Kingsford-Industrial-Centre
Ko Leung Factory Building,25 Tai Yip Street,https://www.midlandici.com.hk/ics/property/building/details/B000020818/Ko-Leung-Factory-Building
Kowloon Bay Industrial Centre,15 Wang Hoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000007522/Kowloon-Bay-Industrial-Centre
